Name,SexuponOutcome,AnimalType,AgeuponOutcome,Breed,Color,DateTime,Outcome,ID
Socks,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Black/White,2014-06-11 14:36:00,0,0
Vera,Intact Female,Cat,1 month,Domestic Shorthair Mix,Tortie/White,2014-07-18 08:10:00,3,1
Biscuit,Neutered Male,Dog,3 months,Chihuahua Shorthair Mix,Yellow,2016-01-02 17:28:00,2,2
Kitten,Spayed Female,Cat,2 years,Domestic Shorthair Mix,Calico,2014-02-19 17:27:00,0,3
,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,2014-07-21 17:34:00,0,4
London,Spayed Female,Dog,1 month,Rottweiler Mix,Black/Tan,2015-07-24 16:50:00,0,5
Dixie,Spayed Female,Dog,4 months,Chihuahua Shorthair Mix,Buff,2014-11-09 18:15:00,0,6
,Neutered Male,Dog,2 years,Chihuahua Shorthair Mix,Brown/White,2015-06-28 16:44:00,3,7
Ruby,Spayed Female,Dog,3 years,English Coonhound/Italian Greyhound,Brown Brindle/White,2014-09-22 12:45:00,0,8
Magnum,Neutered Male,Cat,2 years,Domestic Shorthair Mix,White/Black,2015-09-18 15:27:00,1,9
King,Neutered Male,Dog,5 years,Labrador Retriever Mix,Black/Brown,2015-07-20 12:27:00,2,10
Oreo,Neutered Male,Dog,8 months,Labrador Retriever/German Shepherd,Chocolate,2014-01-07 11:19:00,2,11
Achilles,Neutered Male,Dog,2 years,German Shepherd Mix,Brown,2015-07-08 19:05:00,2,12
,Intact Female,Cat,7 years,Persian Mix,Orange/White,2015-01-20 11:36:00,3,13
Charms,Spayed Female,Dog,7 years,Chihuahua Shorthair Mix,Tan,2015-01-10 16:29:00,0,14
,Intact Male,Cat,1 weeks,Domestic Shorthair Mix,Blue Tabby,2015-04-15 18:17:00,1,15
Ginger Cat,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,2015-09-01 18:58:00,0,16
,Spayed Female,Dog,8 months,Rottweiler Mix,Black/Tan,2016-02-16 14:26:00,2,17
Cookie,Spayed Female,Dog,4 years,Chihuahua Shorthair Mix,Tricolor,2014-07-11 17:26:00,0,18
Sassy,Spayed Female,Dog,1 year,Chihuahua Shorthair Mix,White/Black,2015-11-27 18:07:00,2,19
,Spayed Female,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,2014-09-08 11:53:00,0,20
Harper,Neutered Male,Dog,2 years,American Bulldog/Pointer,White/Red,2013-11-05 13:55:00,2,21
Esteban,Intact Male,Cat,2 months,Domestic Shorthair Mix,Black,2015-08-16 16:40:00,1,22
Moe,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Blue,2013-12-07 14:57:00,0,23
Ziggy,Neutered Male,Cat,2 months,Domestic Shorthair Mix,Blue Tabby,2015-07-30 19:12:00,0,24
,Intact Female,Cat,4 weeks,Domestic Shorthair,Black/White,2015-06-17 12:44:00,1,25
Bb,Neutered Male,Dog,3 years,Chihuahua Shorthair Mix,Red/White,2015-03-13 19:01:00,2,26
Cora,Spayed Female,Cat,3 months,Domestic Shorthair Mix,Black/White,2015-07-09 18:44:00,0,27
,Intact Female,Dog,3 months,Anatol Shepherd Mix,Brown/Black,2013-10-24 15:40:00,1,28
,Intact Male,Cat,1 year,Domestic Shorthair Mix,Black/White,2014-11-27 09:00:00,1,29
Chipper,Neutered Male,Dog,6 years,Labrador Retriever Mix,Yellow,2014-05-16 11:18:00,2,30
Bleu,Spayed Female,Dog,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White,2013-11-04 17:51:00,0,31
