iter	R2	RMSE
0	0.1055468619	1.093474037
1	0.1924909343	1.038970899
2	0.2699797707	0.9878639276
3	0.335398496	0.9425628959
4	0.3901774388	0.9028828912
5	0.4337320928	0.870042874
6	0.4725886207	0.839661862
7	0.5067371751	0.8120240138
8	0.5366561115	0.7870120816
9	0.5638782507	0.7635430923
10	0.5840446237	0.7456809544
11	0.6050127141	0.7266432407
12	0.6212533227	0.7115478251
13	0.6356008854	0.6979403973
14	0.6507939436	0.6832357199
15	0.6641629102	0.6700296305
16	0.6746258612	0.6595097124
17	0.6850020051	0.6489086665
18	0.6938725394	0.6397065894
19	0.7005147253	0.6327285288
20	0.7068412507	0.6260097681
21	0.7124465218	0.6199961496
22	0.7175557832	0.614463405
23	0.7217699141	0.6098622122
24	0.7270414133	0.6040571931
25	0.7302937597	0.6004476885
26	0.7334448513	0.5969297413
27	0.736882216	0.5930683956
28	0.7416598211	0.58765936
29	0.7465212005	0.5821038887
30	0.7490644996	0.5791762344
31	0.7512797119	0.576614137
32	0.7531750813	0.5744128954
33	0.7548681644	0.5724394272
34	0.756234146	0.5708422579
35	0.7581006408	0.5686526126
36	0.7605492478	0.5657672218
37	0.76167209	0.5644391538
38	0.7644603094	0.5611277281
39	0.7661560579	0.5591041832
40	0.7696236837	0.5549432774
41	0.7719459705	0.552139166
42	0.7738009513	0.549889044
43	0.7757072893	0.547566991
44	0.7775419377	0.5453229241
45	0.7790306779	0.5434951482
46	0.7804022763	0.5418057339
47	0.7812393023	0.5407721657
48	0.7824365372	0.5392903649
49	0.7836965585	0.537726444
50	0.7848524238	0.5362877894
51	0.7855972244	0.5353587207
52	0.7875761535	0.5328823233
53	0.7888192031	0.5313208907
54	0.7901217007	0.5296798453
55	0.791254143	0.5282489132
56	0.7920114444	0.5272898351
57	0.7926043061	0.5265377913
58	0.7935201572	0.52537392
59	0.7944504177	0.5241890917
60	0.795273908	0.5231380124
61	0.7959043429	0.522331914
62	0.7967870375	0.5212011717
63	0.798245664	0.5193272584
64	0.7989870899	0.5183721437
65	0.7996525528	0.5175133844
66	0.8000333385	0.5170213506
67	0.800905289	0.5158928887
68	0.8017129834	0.514845379
69	0.8022721191	0.5141189783
70	0.8030992248	0.5130425587
71	0.803619476	0.5123643299
72	0.8043276257	0.5114397007
73	0.8050829743	0.5104515979
74	0.8060615235	0.5091686661
75	0.8068745766	0.508100245
76	0.8078161432	0.5068601318
77	0.808475847	0.505989442
78	0.809060709	0.5052162752
79	0.8100085481	0.5039607466
80	0.810346283	0.503512619
81	0.8110587042	0.5025660238
82	0.8116888096	0.5017273134
83	0.8123559453	0.5008377828
84	0.8128890632	0.5001258085
85	0.8133106923	0.4995620078
86	0.8143501888	0.4981692718
87	0.8148651845	0.4974778269
88	0.8153368533	0.4968437095
89	0.8158947081	0.4960926764
90	0.8164525486	0.4953405238
91	0.8167650514	0.4949186678
92	0.8177168793	0.4936315476
93	0.8185755566	0.4924675053
94	0.819138637	0.4917026847
95	0.8197119814	0.4909226984
96	0.8203026147	0.490117894
97	0.8209840677	0.4891876925
