iter	Passed	Remaining
0	47	47813
1	49	24453
2	49	16592
3	50	12648
4	51	10263
5	52	8679
6	53	7557
7	54	6708
8	54	6046
9	55	5516
10	56	5084
11	57	4729
12	58	4425
13	59	4163
14	59	3935
15	60	3741
16	61	3564
17	62	3409
18	63	3271
19	64	3145
20	65	3030
21	65	2928
22	66	2834
23	67	2748
24	68	2668
25	69	2593
26	70	2524
27	70	2459
28	71	2399
29	72	2342
30	73	2289
31	74	2241
32	74	2195
33	75	2151
34	76	2109
35	77	2069
36	78	2037
37	79	2001
38	79	1968
39	80	1937
40	81	1906
41	82	1878
42	83	1850
43	83	1824
44	84	1799
45	85	1775
46	86	1752
47	87	1729
48	88	1708
49	88	1687
50	89	1667
51	90	1648
52	91	1630
53	92	1612
54	92	1595
55	93	1578
56	94	1562
57	95	1547
58	96	1531
59	96	1517
60	97	1503
61	98	1489
62	99	1476
63	100	1463
64	100	1452
65	101	1440
66	102	1428
67	103	1416
68	104	1405
69	104	1394
70	105	1384
71	106	1374
72	107	1364
73	108	1354
74	109	1345
75	109	1335
76	110	1326
77	111	1317
78	112	1308
79	113	1300
80	113	1293
81	114	1287
82	115	1280
83	116	1272
84	117	1265
85	118	1257
86	119	1250
87	119	1242
88	120	1235
89	121	1228
90	122	1221
91	123	1214
92	123	1208
93	124	1202
94	125	1195
95	126	1189
96	127	1183
97	127	1178
98	128	1171
99	129	1166
100	130	1160
101	131	1155
102	132	1150
103	132	1145
104	133	1140
105	134	1135
106	135	1130
107	136	1125
108	137	1120
109	137	1116
110	138	1111
111	139	1106
112	140	1101
113	141	1097
114	142	1092
115	142	1088
116	143	1084
117	144	1079
118	145	1075
119	146	1071
120	147	1068
121	147	1063
122	148	1059
123	149	1056
124	150	1052
125	151	1048
126	151	1044
127	152	1040
128	153	1036
129	154	1033
130	155	1029
131	155	1025
132	156	1022
133	157	1018
134	158	1015
135	159	1011
136	160	1008
137	160	1004
138	161	1001
139	162	997
140	163	994
141	164	991
142	164	987
143	165	984
144	166	981
145	167	978
146	168	975
147	168	972
148	169	969
149	170	966
150	171	963
151	172	961
152	173	958
153	174	955
154	174	953
155	175	950
156	176	948
157	177	945
158	178	943
159	179	940
160	179	937
161	180	934
162	181	931
163	182	929
164	183	926
165	183	924
166	184	921
167	185	919
168	186	916
169	187	914
170	188	912
171	188	909
172	189	907
173	190	904
174	191	902
175	192	899
176	192	897
177	193	894
178	194	892
179	195	890
180	196	887
181	196	885
182	197	882
183	198	880
184	199	878
185	200	875
186	200	873
187	201	871
188	202	869
189	203	866
190	204	864
191	204	862
192	205	860
193	206	858
194	207	855
195	208	853
196	208	851
197	209	849
198	210	847
199	211	845
200	212	843
201	213	841
202	213	839
203	214	837
204	215	835
205	216	833
206	217	832
207	218	830
208	218	828
209	219	826
210	220	824
211	221	822
212	221	820
213	222	818
214	223	816
215	224	814
216	225	812
217	225	810
218	226	808
219	227	807
220	228	805
221	229	803
222	230	802
223	230	800
224	231	798
225	232	796
226	233	794
227	234	793
228	235	791
229	235	789
230	236	787
231	237	785
232	238	783
233	238	782
234	239	780
235	240	778
236	241	776
237	242	776
238	243	774
239	243	772
240	244	770
241	245	769
242	246	767
243	247	766
244	248	764
245	248	763
246	249	761
247	250	760
248	251	758
249	252	756
250	253	755
251	253	753
252	254	751
253	255	750
254	256	748
255	257	747
256	257	745
257	258	744
258	259	743
259	260	741
260	261	740
261	262	738
262	263	737
263	263	735
264	264	733
265	265	732
266	266	730
267	266	729
268	267	727
269	268	726
270	269	724
271	270	723
272	270	721
273	271	720
274	272	718
275	273	717
276	274	715
277	275	714
278	275	712
279	276	711
280	277	709
281	278	708
282	279	706
283	279	705
284	280	704
285	281	702
286	282	701
287	283	699
288	283	698
289	284	696
290	285	695
291	286	693
292	286	692
293	287	691
294	288	689
295	289	688
296	290	686
297	291	685
298	291	684
299	292	682
300	293	681
301	294	680
302	295	679
303	296	677
304	296	676
305	297	674
306	298	673
307	299	672
308	300	670
309	300	669
310	301	668
311	302	666
312	303	665
313	303	664
314	304	662
315	305	661
316	306	660
317	307	659
318	308	657
319	308	656
320	309	655
321	310	653
322	311	652
323	312	651
324	312	649
325	313	648
326	314	647
327	315	646
328	316	644
329	316	643
330	317	642
331	318	640
332	319	639
333	320	638
334	320	637
335	321	635
336	322	634
337	323	633
338	324	632
339	324	630
340	325	629
341	326	628
342	327	626
343	328	625
344	328	624
345	329	623
346	330	622
347	331	620
348	332	619
349	333	618
350	333	617
351	334	615
352	335	614
353	336	613
354	336	612
355	337	611
356	338	609
357	339	608
358	340	607
359	341	606
360	341	605
361	342	604
362	343	602
363	344	601
364	345	600
365	346	599
366	346	598
367	347	596
368	348	595
369	349	594
370	350	593
371	350	592
372	351	591
373	352	590
374	353	588
375	354	587
376	354	586
377	355	585
378	356	584
379	357	583
380	358	581
381	358	580
382	359	579
383	360	578
384	361	577
385	362	575
386	362	574
387	363	573
388	364	572
389	365	571
390	366	570
391	366	569
392	367	567
393	368	566
394	369	565
395	370	564
396	370	563
397	371	562
398	372	561
399	373	560
400	374	559
401	375	557
402	375	556
403	376	555
404	377	554
405	378	553
406	379	552
407	379	551
408	380	550
409	381	548
410	382	547
411	383	546
412	383	545
413	384	544
414	385	543
415	386	542
416	387	541
417	387	540
418	388	539
419	389	538
420	390	537
421	391	535
422	392	534
423	392	533
424	393	532
425	394	531
426	395	530
427	396	529
428	397	528
429	397	527
430	398	526
431	399	525
432	400	524
433	401	522
434	401	521
435	402	520
436	403	519
437	404	518
438	405	517
439	405	516
440	406	515
441	407	514
442	408	513
443	409	512
444	409	511
445	410	510
446	411	509
447	412	508
448	413	507
449	413	505
450	414	504
451	415	503
452	416	502
453	417	501
454	417	500
455	418	499
456	419	498
457	420	497
458	421	496
459	422	495
460	422	494
461	423	493
462	424	492
463	425	491
464	426	490
465	427	489
466	427	488
467	428	487
468	429	486
469	430	485
470	431	484
471	431	483
472	432	482
473	433	481
474	434	480
475	435	479
476	436	478
477	436	477
478	437	476
479	438	474
480	439	473
481	440	473
482	440	472
483	441	470
484	442	469
485	443	468
486	444	467
487	444	466
488	445	465
489	446	464
490	447	463
491	448	462
492	449	461
493	449	460
494	450	459
495	451	458
496	452	457
497	453	456
498	453	455
499	454	454
500	455	453
501	456	452
502	457	451
503	458	450
504	458	449
505	459	448
506	460	447
507	461	446
508	462	445
509	462	444
510	463	443
511	464	442
512	465	441
513	466	440
514	467	439
515	467	438
516	468	437
517	469	436
518	470	435
519	471	434
520	471	433
521	472	432
522	473	431
523	474	430
524	475	429
525	475	428
526	476	427
527	477	426
528	478	425
529	479	424
530	480	424
531	480	423
532	481	422
533	482	421
534	483	420
535	484	419
536	485	418
537	485	417
538	486	416
539	487	415
540	488	414
541	489	413
542	490	412
543	491	411
544	492	410
545	492	409
546	493	408
547	494	407
548	495	407
549	496	406
550	497	405
551	498	404
552	498	403
553	499	402
554	500	401
555	501	400
556	502	399
557	503	398
558	503	397
559	504	396
560	505	395
561	506	394
562	507	393
563	508	392
564	508	391
565	509	390
566	510	389
567	511	388
568	512	387
569	512	386
570	513	385
571	514	384
572	515	384
573	516	383
574	517	382
575	517	381
576	518	380
577	519	379
578	520	378
579	521	377
580	521	376
581	522	375
582	523	374
583	524	373
584	525	372
585	526	371
586	526	370
587	527	369
588	528	368
589	529	367
590	530	366
591	531	366
592	531	365
593	532	364
594	533	363
595	534	362
596	535	361
597	536	360
598	536	359
599	537	358
600	538	357
601	539	356
602	540	355
603	541	354
604	542	353
605	542	352
606	543	352
607	544	351
608	545	350
609	546	349
610	546	348
611	547	347
612	548	346
613	549	345
614	550	344
615	551	343
616	552	342
617	552	341
618	553	340
619	554	339
620	555	338
621	556	337
622	556	336
623	557	336
624	558	335
625	559	334
626	560	333
627	560	332
628	561	331
629	562	330
630	563	329
631	564	328
632	564	327
633	565	326
634	566	325
635	567	324
636	568	323
637	569	322
