iter	Passed	Remaining
0	66	133781
1	127	127061
2	183	122412
3	240	120200
4	298	118926
5	355	118064
6	411	117058
7	467	116514
8	524	116042
9	584	116386
10	642	116198
11	699	115928
12	756	115618
13	814	115476
14	872	115413
15	931	115450
16	990	115537
17	1046	115198
18	1105	115267
19	1162	115061
20	1219	114883
21	1275	114672
22	1333	114632
23	1391	114541
24	1448	114425
25	1506	114349
26	1562	114168
27	1617	113946
28	1676	113947
29	1733	113839
30	1790	113727
31	1849	113768
32	1906	113624
33	1963	113536
34	2021	113474
35	2078	113383
36	2134	113254
37	2190	113092
38	2246	112955
39	2302	112832
40	2360	112780
41	2416	112674
42	2475	112675
43	2535	112695
44	2591	112594
45	2649	112533
46	2707	112513
47	2765	112479
48	2824	112465
49	2882	112419
50	2939	112322
51	2999	112362
52	3055	112255
53	3112	112155
54	3168	112041
55	3223	111913
56	3280	111813
57	3339	111807
58	3396	111729
59	3452	111629
60	3508	111536
61	3569	111590
62	3629	111579
63	3689	111607
64	3748	111580
65	3806	111531
66	3863	111469
67	3920	111398
68	3978	111343
69	4037	111306
70	4094	111249
71	4150	111148
72	4207	111063
73	4263	110956
74	4318	110853
75	4376	110792
76	4432	110689
77	4489	110622
78	4546	110554
79	4605	110534
80	4663	110479
81	4720	110421
82	4780	110412
83	4836	110327
84	4892	110234
85	4950	110167
86	5007	110101
87	5066	110073
88	5124	110023
89	5182	109985
90	5238	109887
91	5295	109827
92	5353	109777
93	5409	109692
94	5466	109610
95	5523	109542
96	5579	109470
97	5636	109399
98	5695	109358
99	5751	109287
100	5808	109216
101	5865	109140
102	5922	109074
103	5979	109011
104	6037	108970
105	6095	108918
106	6151	108837
107	6208	108756
108	6263	108663
109	6320	108589
110	6377	108533
111	6433	108458
112	6489	108371
113	6546	108304
114	6602	108227
115	6658	108149
116	6715	108084
117	6773	108034
118	6829	107951
119	6887	107901
120	6945	107858
121	7001	107778
122	7059	107729
123	7117	107673
124	7176	107650
125	7235	107613
126	7294	107574
127	7351	107516
128	7408	107456
129	7467	107413
130	7525	107362
131	7582	107301
132	7639	107235
133	7696	107177
134	7755	107141
135	7811	107061
136	7869	107009
137	7926	106945
138	7982	106876
139	8038	106799
140	8097	106763
141	8154	106698
142	8213	106662
143	8271	106608
144	8328	106545
145	8386	106491
146	8444	106451
147	8501	106388
148	8559	106327
149	8617	106284
150	8674	106218
151	8732	106168
152	8788	106096
153	8846	106046
154	8903	105984
155	8961	105926
156	9018	105869
157	9076	105812
158	9132	105743
159	9189	105681
160	9249	105646
161	9305	105581
162	9363	105523
163	9420	105465
164	9477	105403
165	9535	105346
166	9591	105278
167	9651	105243
168	9708	105184
169	9765	105125
170	9823	105069
171	9880	105011
172	9939	104967
173	9996	104910
174	10054	104855
175	10111	104796
176	10169	104741
177	10227	104686
178	10286	104641
179	10343	104581
180	10402	104539
181	10459	104477
182	10516	104416
183	10575	104370
184	10632	104313
185	10690	104259
186	10747	104195
187	10804	104137
188	10861	104076
189	10919	104020
190	10977	103969
191	11036	103923
192	11093	103862
193	11149	103797
194	11207	103740
195	11265	103690
196	11326	103663
197	11384	103613
198	11442	103555
199	11499	103491
200	11556	103429
201	11614	103378
202	11671	103320
203	11729	103263
204	11787	103210
205	11844	103151
206	11902	103096
207	11960	103043
208	12019	102997
209	12076	102939
210	12133	102873
211	12189	102807
212	12246	102747
213	12304	102688
214	12363	102646
215	12420	102582
216	12479	102542
217	12539	102497
218	12595	102429
219	12651	102365
220	12709	102306
221	12765	102241
222	12821	102171
223	12879	102113
224	12936	102054
225	12996	102019
226	13054	101959
227	13112	101906
228	13172	101867
229	13230	101818
230	13290	101775
231	13350	101740
232	13413	101722
233	13470	101659
234	13528	101610
235	13588	101567
236	13647	101519
237	13704	101461
238	13762	101401
239	13820	101346
240	13878	101298
241	13939	101265
242	14002	101246
243	14060	101189
244	14116	101121
245	14173	101057
246	14231	101000
247	14288	100943
248	14345	100881
249	14405	100840
250	14464	100788
251	14521	100728
252	14578	100663
253	14635	100602
254	14694	100557
255	14753	100507
256	14809	100438
257	14866	100378
258	14925	100331
259	14984	100279
260	15042	100224
261	15103	100191
262	15160	100127
263	15218	100074
264	15277	100023
265	15333	99957
266	15392	99903
267	15451	99857
268	15510	99807
269	15568	99754
270	15626	99695
271	15683	99634
272	15740	99577
273	15798	99520
274	15856	99464
275	15915	99411
276	15975	99370
277	16032	99311
278	16089	99249
279	16147	99191
280	16206	99144
281	16265	99090
282	16322	99031
283	16381	98979
284	16439	98926
285	16497	98870
286	16557	98825
287	16616	98772
288	16675	98725
289	16736	98689
290	16799	98661
291	16857	98603
292	16914	98542
293	16977	98516
294	17037	98472
295	17096	98420
296	17154	98364
297	17212	98305
298	17270	98252
299	17328	98195
300	17387	98145
301	17447	98099
302	17507	98054
303	17569	98021
304	17627	97963
305	17687	97919
306	17745	97860
307	17806	97817
308	17871	97800
309	17927	97734
310	17986	97684
311	18044	97627
312	18103	97572
313	18160	97510
314	18219	97457
315	18276	97398
316	18335	97348
317	18393	97290
318	18451	97233
319	18510	97181
320	18571	97139
321	18630	97086
322	18689	97034
323	18749	96987
324	18808	96936
325	18868	96889
326	18926	96834
327	18988	96796
328	19047	96742
329	19106	96690
330	19164	96633
331	19221	96572
332	19280	96515
333	19336	96453
334	19395	96398
335	19454	96346
336	19511	96285
337	19569	96226
338	19628	96173
339	19688	96124
340	19746	96068
341	19808	96032
342	19867	95977
343	19925	95921
344	19985	95873
345	20043	95816
346	20100	95754
347	20158	95694
348	20215	95634
349	20273	95576
350	20332	95520
351	20390	95466
352	20448	95407
353	20505	95345
354	20563	95286
355	20620	95225
356	20678	95168
357	20737	95113
358	20794	95050
359	20851	94988
360	20908	94927
361	20969	94882
362	21027	94825
363	21084	94765
364	21143	94712
365	21201	94652
366	21259	94596
367	21317	94540
368	21376	94483
369	21433	94421
370	21490	94361
371	21549	94306
372	21606	94245
373	21664	94189
374	21722	94131
375	21781	94078
376	21838	94017
377	21897	93961
378	21954	93900
379	22012	93842
380	22069	93781
381	22129	93731
382	22187	93673
383	22246	93620
384	22304	93563
385	22362	93506
386	22421	93452
387	22480	93397
388	22539	93344
389	22597	93285
390	22656	93231
391	22713	93170
392	22770	93110
393	22828	93050
394	22886	92994
395	22947	92950
396	23006	92896
397	23065	92841
398	23123	92782
399	23180	92720
400	23237	92661
401	23298	92613
402	23357	92561
403	23417	92509
404	23475	92452
405	23533	92393
406	23590	92335
407	23649	92278
408	23706	92217
409	23764	92160
410	23825	92114
411	23884	92058
412	23941	91999
413	24001	91947
414	24061	91896
415	24119	91839
416	24179	91787
417	24236	91729
418	24295	91671
419	24353	91616
420	24413	91564
421	24472	91511
422	24532	91459
423	24591	91406
424	24649	91349
425	24707	91291
426	24766	91235
427	24824	91176
428	24883	91124
429	24942	91069
430	25002	91018
431	25061	90963
432	25120	90910
433	25178	90852
434	25237	90797
435	25296	90742
436	25354	90684
437	25416	90640
438	25475	90584
439	25533	90529
440	25592	90474
441	25650	90416
442	25709	90360
443	25769	90308
444	25829	90256
445	25890	90210
446	25950	90160
447	26009	90103
448	26068	90048
449	26127	89993
450	26186	89940
451	26245	89886
452	26305	89832
453	26365	89781
454	26424	89727
455	26483	89672
456	26542	89616
457	26600	89558
458	26659	89503
459	26718	89449
460	26776	89391
461	26836	89338
462	26894	89282
463	26953	89226
464	27012	89170
465	27072	89116
466	27130	89061
467	27189	89003
468	27247	88947
469	27306	88891
470	27365	88835
471	27424	88781
472	27483	88726
473	27542	88669
474	27601	88614
475	27664	88572
476	27723	88518
477	27782	88461
478	27840	88405
479	27902	88356
480	27962	88305
481	28026	88265
482	28089	88224
483	28150	88173
484	28209	88117
485	28270	88067
486	28329	88011
487	28388	87957
488	28449	87909
489	28514	87872
490	28575	87822
491	28637	87773
492	28698	87726
493	28760	87677
494	28821	87628
495	28883	87582
496	28943	87530
497	29005	87481
498	29067	87436
499	29127	87383
500	29187	87330
501	29246	87274
502	29306	87220
503	29369	87175
504	29436	87142
505	29498	87097
506	29561	87051
507	29638	87047
508	29701	87002
509	29764	86958
510	29826	86910
511	29889	86866
512	29953	86823
513	30016	86780
514	30079	86735
515	30144	86694
516	30208	86651
517	30275	86616
518	30336	86567
519	30398	86519
520	30464	86481
521	30528	86437
522	30590	86391
523	30654	86347
524	30716	86298
525	30778	86250
526	30843	86210
527	30913	86183
528	30978	86141
529	31041	86095
530	31106	86056
531	31169	86009
532	31235	85970
533	31297	85921
534	31359	85872
535	31422	85824
536	31487	85783
537	31550	85736
538	31612	85689
539	31676	85644
540	31738	85594
541	31801	85546
542	31863	85498
543	31928	85455
544	31992	85410
545	32054	85361
546	32117	85314
547	32180	85266
548	32243	85220
549	32308	85178
550	32378	85148
551	32447	85115
552	32512	85073
553	32575	85025
554	32637	84976
555	32702	84932
556	32768	84892
557	32833	84848
558	32895	84798
559	32957	84748
560	33023	84707
561	33092	84674
562	33159	84636
563	33226	84597
564	33290	84552
565	33352	84501
566	33413	84448
567	33483	84414
568	33544	84363
569	33606	84309
570	33669	84261
571	33729	84206
572	33790	84152
573	33851	84097
574	33912	84044
575	33972	83988
576	34035	83937
577	34096	83883
578	34157	83830
579	34220	83780
580	34281	83727
581	34344	83679
582	34406	83627
583	34472	83583
584	34535	83534
585	34598	83484
586	34661	83436
587	34722	83382
588	34784	83328
589	34850	83286
590	34912	83235
591	34973	83181
592	35035	83128
593	35098	83078
594	35160	83024
595	35221	82972
596	35283	82918
597	35344	82865
598	35405	82809
599	35471	82766
600	35533	82714
601	35595	82661
602	35657	82608
603	35719	82556
604	35780	82502
605	35842	82450
606	35905	82399
607	35968	82348
608	36036	82310
609	36098	82256
610	36163	82212
611	36225	82159
612	36287	82104
613	36349	82053
614	36411	82000
615	36475	81952
616	36540	81905
617	36602	81852
618	36665	81802
619	36728	81750
620	36791	81699
621	36854	81648
622	36917	81597
623	36980	81545
624	37043	81494
625	37105	81442
626	37166	81387
627	37229	81335
628	37290	81280
629	37353	81228
630	37417	81180
631	37481	81130
632	37543	81078
633	37609	81031
634	37671	80979
635	37734	80926
636	37796	80874
637	37859	80823
638	37922	80770
639	37984	80717
640	38048	80667
641	38109	80610
642	38173	80561
643	38237	80512
644	38299	80459
645	38362	80406
646	38425	80354
647	38489	80305
648	38550	80249
649	38612	80195
650	38675	80142
651	38736	80087
652	38798	80033
653	38859	79977
654	38920	79920
655	38983	79869
656	39046	79815
657	39115	79777
658	39179	79726
659	39241	79671
660	39303	79617
661	39364	79561
662	39426	79507
663	39488	79452
664	39550	79398
665	39612	79343
666	39674	79288
667	39736	79234
668	39798	79181
669	39862	79130
670	39925	79077
671	39988	79024
672	40050	78970
673	40117	78925
674	40180	78873
675	40243	78820
676	40308	78770
677	40370	78716
678	40432	78660
679	40495	78609
680	40558	78555
681	40620	78501
682	40682	78446
683	40746	78395
684	40810	78343
685	40876	78296
686	40938	78242
687	41001	78189
688	41066	78140
689	41134	78095
690	41196	78041
691	41259	77987
692	41321	77932
693	41384	77878
694	41445	77821
695	41507	77767
696	41569	77712
697	41630	77655
698	41694	77602
699	41758	77550
700	41820	77495
701	41886	77447
702	41948	77392
703	42010	77338
704	42074	77285
705	42136	77231
706	42200	77178
707	42262	77122
708	42324	77067
709	42385	77011
710	42448	76956
711	42512	76904
712	42575	76851
713	42637	76795
714	42699	76740
715	42762	76686
716	42827	76635
717	42890	76581
718	42952	76525
719	43014	76470
720	43080	76421
721	43144	76370
722	43207	76315
723	43271	76263
724	43335	76210
725	43397	76155
726	43462	76104
727	43530	76058
728	43595	76008
729	43659	75955
730	43721	75899
731	43787	75849
732	43850	75796
733	43914	75743
734	43976	75687
735	44038	75631
736	44151	75662
737	44214	75607
738	44276	75551
739	44341	75500
740	44407	75451
741	44470	75396
742	44535	75344
743	44602	75297
744	44668	75246
745	44731	75192
746	44795	75139
747	44860	75087
748	44923	75032
749	44990	74984
750	45055	74931
751	45119	74879
752	45186	74830
753	45249	74776
754	45313	74721
755	45378	74669
756	45442	74616
757	45510	74569
758	45574	74515
759	45638	74462
760	45700	74405
761	45762	74349
762	45825	74293
763	45887	74237
764	45951	74183
765	46015	74130
766	46079	74075
767	46142	74020
768	46205	73964
769	46267	73907
770	46330	73852
771	46393	73796
772	46456	73741
773	46520	73686
774	46582	73630
775	46646	73577
776	46709	73520
777	46772	73465
778	46836	73411
779	46899	73356
780	46962	73300
781	47024	73243
782	47087	73186
783	47149	73129
784	47211	73073
785	47275	73018
786	47338	72963
787	47403	72909
788	47466	72854
789	47529	72798
790	47592	72743
791	47656	72688
792	47720	72633
793	47783	72578
794	47848	72524
795	47913	72471
796	47976	72416
797	48040	72362
798	48103	72305
799	48166	72249
800	48238	72207
801	48302	72152
802	48368	72101
803	48432	72046
804	48495	71990
805	48560	71936
806	48624	71881
807	48687	71825
808	48750	71770
809	48814	71715
810	48879	71661
811	48943	71607
812	49009	71555
813	49075	71503
814	49140	71449
815	49203	71393
816	49268	71340
817	49333	71286
818	49397	71230
819	49461	71175
820	49523	71119
821	49587	71063
822	49651	71007
823	49713	70950
824	49776	70894
825	49839	70837
826	49903	70782
827	49967	70726
828	50030	70670
829	50093	70613
830	50156	70557
831	50222	70505
832	50286	70449
833	50353	70397
834	50415	70340
835	50479	70284
836	50542	70228
837	50606	70172
838	50671	70118
839	50734	70062
840	50798	70006
841	50861	69950
842	50927	69897
843	50992	69842
844	51055	69786
845	51120	69731
846	51185	69677
847	51253	69626
848	51320	69576
849	51387	69524
850	51457	69476
851	51527	69429
852	51594	69377
853	51658	69322
854	51724	69268
855	51791	69217
856	51857	69163
857	51922	69108
858	51986	69052
859	52049	68995
860	52113	68940
861	52178	68884
862	52243	68830
863	52307	68774
864	52372	68719
865	52435	68662
866	52499	68605
867	52563	68549
868	52627	68494
869	52690	68437
870	52754	68380
871	52819	68325
872	52882	68268
873	52948	68214
874	53011	68157
875	53074	68099
876	53137	68043
877	53201	67986
878	53264	67929
879	53329	67873
880	53392	67816
881	53457	67761
882	53522	67705
883	53585	67648
884	53650	67593
885	53713	67535
886	53777	67479
887	53840	67421
888	53902	67363
889	53966	67306
890	54029	67249
891	54093	67192
892	54158	67136
893	54229	67089
894	54292	67031
895	54357	66975
896	54420	66918
897	54484	66861
898	54547	66804
899	54612	66748
900	54675	66691
901	54739	66633
902	54804	66578
903	54869	66522
904	54932	66465
905	54995	66407
906	55059	66350
907	55122	66293
908	55186	66235
909	55250	66179
910	55315	66124
911	55381	66069
912	55446	66013
913	55510	65956
914	55576	65901
915	55639	65844
916	55703	65786
917	55767	65729
918	55831	65672
919	55895	65616
920	55965	65566
921	56030	65510
922	56095	65454
923	56159	65398
924	56225	65343
925	56291	65288
926	56356	65232
927	56421	65176
928	56487	65121
929	56552	65066
930	56616	65008
931	56679	64950
932	56743	64893
933	56807	64835
934	56870	64777
935	56934	64720
936	56997	64662
937	57062	64605
938	57128	64550
939	57191	64492
940	57256	64436
941	57320	64378
942	57384	64322
943	57449	64265
944	57514	64209
945	57579	64153
946	57643	64095
947	57707	64038
948	57772	63982
949	57840	63929
950	57903	63870
951	57968	63814
952	58034	63758
953	58100	63703
954	58166	63647
955	58230	63590
956	58295	63534
957	58360	63477
958	58424	63419
959	58487	63361
960	58553	63305
961	58617	63247
962	58680	63189
963	58745	63133
964	58808	63074
965	58872	63016
966	58936	62959
967	59001	62902
968	59066	62845
969	59130	62788
970	59194	62730
971	59259	62674
972	59333	62626
973	59397	62569
974	59462	62511
975	59525	62453
976	59589	62395
977	59652	62336
978	59716	62278
979	59780	62220
980	59846	62164
981	59911	62107
982	59976	62050
983	60041	61993
984	60107	61937
985	60173	61881
986	60237	61824
987	60310	61775
988	60373	61716
989	60439	61660
990	60505	61604
991	60569	61546
992	60635	61490
993	60701	61434
994	60767	61378
995	60831	61320
996	60896	61263
997	60963	61207
998	61027	61149
999	61094	61094
1000	61159	61037
1001	61226	60982
1002	61293	60926
1003	61357	60868
1004	61423	60812
1005	61487	60754
1006	61553	60698
1007	61620	60641
1008	61685	60585
1009	61751	60528
1010	61817	60472
1011	61882	60414
1012	61948	60358
1013	62013	60301
1014	62078	60243
1015	62145	60187
1016	62211	60131
1017	62277	60075
1018	62342	60017
1019	62407	59960
1020	62473	59903
1021	62537	59845
1022	62603	59788
1023	62669	59732
1024	62734	59674
1025	62801	59618
1026	62866	59561
1027	62932	59504
1028	62998	59447
1029	63064	59390
1030	63129	59333
1031	63197	59277
1032	63262	59221
1033	63329	59164
1034	63393	59106
1035	63458	59048
1036	63524	58991
1037	63591	58935
1038	63659	58880
1039	63724	58822
1040	63790	58765
1041	63855	58707
1042	63922	58651
1043	63988	58594
1044	64055	58538
1045	64121	58481
1046	64187	58425
1047	64253	58367
1048	64323	58314
1049	64388	58256
1050	64451	58196
1051	64518	58139
1052	64584	58082
1053	64648	58024
1054	64715	57968
1055	64782	57911
1056	64849	57855
1057	64915	57798
1058	64980	57740
1059	65046	57682
1060	65114	57626
1061	65179	57569
1062	65246	57512
1063	65314	57457
1064	65453	57463
1065	65518	57405
1066	65584	57347
1067	65652	57291
1068	65719	57235
1069	65784	57177
1070	65851	57120
1071	65916	57062
1072	65982	57004
1073	66048	56947
1074	66113	56888
1075	66178	56829
1076	66244	56772
1077	66312	56716
1078	66380	56660
1079	66449	56605
1080	66518	56550
1081	66584	56492
1082	66650	56434
1083	66715	56375
1084	66783	56319
1085	66849	56261
1086	66914	56203
1087	66980	56145
1088	67047	56088
1089	67114	56031
1090	67181	55974
1091	67247	55916
1092	67314	55859
1093	67381	55801
1094	67447	55744
1095	67514	55687
1096	67581	55630
1097	67649	55573
1098	67716	55516
1099	67784	55459
1100	67851	55403
1101	67918	55345
1102	67986	55288
1103	68054	55232
1104	68121	55175
1105	68188	55118
1106	68255	55060
1107	68323	55004
1108	68389	54946
1109	68458	54889
1110	68527	54834
1111	68595	54777
1112	68665	54722
1113	68732	54665
1114	68798	54606
1115	68864	54548
1116	68932	54491
1117	68999	54434
1118	69067	54377
1119	69135	54321
1120	69201	54262
1121	69267	54203
1122	69332	54144
1123	69398	54086
1124	69468	54030
1125	69534	53972
1126	69601	53915
1127	69670	53858
1128	69739	53802
1129	69806	53744
1130	69874	53688
1131	69942	53630
1132	70010	53573
1133	70077	53516
1134	70144	53458
1135	70211	53400
1136	70280	53344
1137	70349	53287
1138	70416	53230
1139	70483	53171
1140	70550	53113
1141	70619	53057
1142	70688	53001
1143	70755	52943
1144	70822	52885
1145	70889	52827
1146	70956	52769
1147	71023	52710
1148	71090	52652
1149	71157	52594
1150	71225	52537
1151	71294	52480
1152	71363	52424
1153	71432	52367
1154	71500	52310
1155	71567	52251
1156	71635	52194
1157	71703	52137
1158	71772	52079
1159	71841	52022
1160	71908	51965
1161	71975	51906
1162	72042	51848
1163	72111	51791
1164	72178	51732
1165	72247	51676
1166	72316	51619
1167	72385	51561
1168	72452	51503
1169	72531	51453
1170	72598	51395
1171	72667	51338
1172	72736	51281
1173	72806	51224
1174	72874	51166
1175	72941	51108
1176	73008	51050
1177	73076	50992
1178	73146	50935
1179	73214	50877
1180	73284	50821
1181	73351	50763
1182	73419	50705
1183	73489	50648
1184	73556	50589
1185	73623	50531
1186	73692	50473
1187	73759	50414
1188	73827	50357
1189	73896	50299
1190	73966	50242
1191	74033	50183
1192	74101	50125
1193	74169	50067
1194	74238	50009
1195	74307	49952
1196	74377	49895
1197	74446	49837
1198	74521	49784
1199	74590	49727
1200	74660	49669
1201	74729	49612
1202	74797	49554
1203	74866	49496
1204	74936	49439
1205	75005	49381
1206	75072	49322
1207	75140	49264
1208	75208	49205
1209	75277	49147
1210	75347	49090
1211	75416	49033
1212	75486	48975
1213	75566	48925
1214	75636	48867
1215	75705	48810
1216	75775	48752
1217	75844	48694
1218	75912	48636
1219	75982	48578
1220	76052	48521
1221	76123	48465
1222	76190	48405
1223	76257	48346
1224	76326	48287
1225	76394	48229
1226	76462	48170
1227	76531	48112
1228	76602	48055
1229	76672	47998
1230	76739	47939
1231	76807	47880
1232	76875	47821
1233	76944	47763
1234	77013	47704
1235	77083	47647
1236	77150	47587
1237	77219	47528
1238	77288	47470
1239	77359	47413
1240	77428	47355
1241	77497	47297
1242	77566	47238
1243	77634	47179
1244	77704	47121
1245	77774	47064
1246	77844	47006
1247	77914	46948
1248	77983	46889
1249	78050	46830
1250	78119	46771
1251	78188	46713
1252	78257	46654
1253	78326	46596
1254	78394	46537
1255	78465	46479
1256	78540	46424
1257	78606	46364
