iter	Passed	Remaining
0	12	24831
1	16	16043
2	19	13175
3	24	12286
4	29	11590
5	35	11754
6	39	11216
7	42	10681
8	46	10316
9	50	9989
10	53	9701
11	57	9482
12	60	9319
13	64	9183
14	68	9099
15	72	8972
16	75	8835
17	79	8711
18	82	8616
19	86	8520
20	89	8467
21	93	8409
22	97	8363
23	100	8308
24	104	8244
25	108	8207
26	112	8195
27	115	8152
28	119	8098
29	122	8058
30	126	8063
31	130	8029
32	134	8021
33	138	7988
34	141	7952
35	145	7921
36	149	7911
37	152	7882
38	156	7873
39	160	7874
40	164	7846
41	167	7817
42	171	7791
43	174	7765
44	178	7743
45	182	7731
46	185	7708
47	189	7707
48	193	7692
49	197	7710
50	201	7689
51	204	7673
52	209	7678
53	212	7671
54	216	7652
55	219	7635
56	223	7632
57	228	7642
58	231	7631
59	235	7624
60	239	7615
61	243	7601
62	247	7595
63	250	7581
64	254	7570
65	258	7566
66	262	7573
67	266	7558
68	269	7542
69	272	7523
70	276	7509
71	280	7498
72	283	7481
73	286	7466
74	290	7464
75	294	7452
76	297	7440
77	301	7422
78	304	7407
79	308	7398
80	311	7383
81	315	7369
82	318	7357
83	323	7371
84	327	7373
85	330	7360
86	334	7348
87	337	7334
88	340	7321
89	344	7315
90	348	7305
91	351	7292
92	356	7302
93	359	7298
94	363	7296
95	367	7284
96	370	7271
97	373	7258
98	377	7252
99	381	7239
100	384	7233
101	389	7241
102	393	7247
103	397	7240
104	400	7229
105	404	7218
106	407	7205
107	410	7193
108	414	7187
109	417	7175
110	421	7177
111	425	7168
112	428	7158
113	432	7148
114	435	7139
115	439	7131
116	442	7124
117	446	7115
118	449	7106
119	454	7115
120	457	7112
121	461	7105
122	464	7093
123	468	7086
124	471	7077
125	475	7072
126	478	7063
127	482	7058
128	486	7054
129	489	7045
130	493	7038
131	496	7031
132	500	7023
133	503	7012
134	507	7008
135	511	7005
136	514	6998
137	518	6996
138	522	6993
139	526	6990
140	529	6987
141	533	6977
142	537	6973
143	540	6967
144	543	6958
145	547	6954
146	551	6952
147	555	6945
148	558	6937
149	561	6929
150	565	6921
151	568	6914
152	572	6907
153	575	6902
154	579	6893
155	583	6891
156	586	6888
157	590	6886
158	594	6880
159	597	6872
160	601	6865
161	604	6855
162	607	6848
163	611	6844
164	614	6836
165	618	6838
166	622	6833
167	626	6826
168	629	6820
169	632	6812
170	636	6804
171	639	6797
172	643	6792
173	646	6785
174	650	6784
175	654	6778
176	657	6776
177	661	6770
178	664	6763
179	668	6756
180	671	6750
181	674	6742
182	678	6736
183	682	6731
184	685	6729
185	689	6722
186	692	6716
187	696	6710
188	699	6705
189	703	6700
190	706	6694
191	710	6690
192	714	6686
193	717	6683
194	721	6681
195	725	6678
196	729	6674
197	732	6668
198	736	6663
199	739	6656
200	743	6652
201	747	6649
202	750	6645
203	754	6643
204	758	6637
205	761	6630
206	764	6624
207	768	6618
208	771	6611
209	775	6607
210	778	6602
211	782	6600
212	786	6596
213	789	6590
214	793	6583
215	796	6578
216	800	6576
217	803	6570
218	807	6563
219	810	6560
220	814	6556
221	818	6551
222	821	6544
223	824	6539
224	828	6535
225	831	6528
226	835	6525
227	838	6519
228	842	6515
229	847	6518
230	851	6520
231	854	6514
232	858	6508
233	861	6503
234	865	6496
235	868	6491
236	871	6484
237	875	6484
238	879	6479
239	882	6474
240	886	6469
241	889	6463
242	893	6457
243	896	6453
244	900	6449
245	903	6441
246	907	6438
247	910	6435
248	914	6431
249	918	6427
250	921	6423
251	928	6439
252	932	6437
253	936	6435
254	940	6432
255	943	6430
256	947	6427
257	951	6423
258	954	6418
259	958	6413
260	961	6409
261	965	6405
262	969	6401
263	972	6396
264	976	6395
265	981	6396
266	985	6396
267	989	6393
268	992	6388
269	996	6382
270	999	6376
271	1002	6371
272	1006	6366
273	1010	6364
274	1013	6360
275	1017	6355
276	1020	6349
277	1024	6344
278	1027	6338
279	1031	6336
280	1034	6331
281	1038	6326
282	1042	6325
283	1046	6320
284	1049	6316
285	1053	6312
286	1056	6308
287	1060	6303
288	1064	6299
289	1067	6295
290	1071	6291
291	1075	6288
292	1078	6283
293	1082	6279
294	1085	6274
295	1089	6269
296	1092	6263
297	1096	6259
298	1099	6254
299	1103	6251
300	1106	6247
301	1110	6243
302	1114	6239
303	1117	6235
304	1120	6229
305	1124	6224
306	1127	6218
307	1131	6215
308	1134	6209
309	1138	6206
310	1142	6203
311	1145	6199
312	1149	6197
313	1153	6193
314	1157	6190
315	1161	6187
316	1164	6182
317	1167	6176
318	1171	6173
