iter	QuerySoftMax	MAP:top=10	PrecisionAt:top=1	PrecisionAt:top=10
0	4.529995666	0.1255108557	0.09195402299	0.02068965517
1	4.50799413	0.2039591315	0.1724137931	0.02988505747
2	4.488227233	0.2643039591	0.2068965517	0.04137931034
3	4.467833719	0.2981070972	0.2413793103	0.04942528736
4	4.446494955	0.3243112571	0.2643678161	0.04827586207
5	4.422093704	0.3490239007	0.2873563218	0.05517241379
6	4.398878635	0.3590996169	0.2873563218	0.05632183908
7	4.374033119	0.365745302	0.2873563218	0.05977011494
8	4.356285096	0.355478015	0.275862069	0.05977011494
9	4.331816708	0.3720899471	0.2988505747	0.05862068966
10	4.30903771	0.376122058	0.3103448276	0.05862068966
11	4.283995657	0.3677385514	0.2988505747	0.05747126437
12	4.266972735	0.364819376	0.2873563218	0.05747126437
13	4.244487553	0.3762224047	0.2988505747	0.05862068966
14	4.226895888	0.3974274767	0.3103448276	0.0632183908
15	4.206115103	0.3983214742	0.3103448276	0.06206896552
16	4.186482877	0.3951605546	0.2988505747	0.0632183908
17	4.165622434	0.3850209816	0.2873563218	0.06206896552
18	4.141980579	0.4035896734	0.3218390805	0.06091954023
19	4.121729202	0.4123700055	0.3218390805	0.06091954023
20	4.107024752	0.417191206	0.3333333333	0.06206896552
21	4.09065455	0.4245666849	0.3448275862	0.0632183908
22	4.068394299	0.4626847291	0.3908045977	0.06436781609
23	4.055345872	0.4497810619	0.367816092	0.06436781609
24	4.030881574	0.4942984857	0.4252873563	0.06666666667
25	4.007122696	0.5041005291	0.4367816092	0.06896551724
26	3.970844674	0.5157088123	0.4482758621	0.07011494253
27	3.943565729	0.5174740011	0.4482758621	0.06896551724
28	3.914629046	0.5173690932	0.4482758621	0.07011494253
29	3.891004267	0.512962963	0.4367816092	0.07011494253
30	3.884086416	0.5131226054	0.4367816092	0.06896551724
31	3.858785816	0.5172687466	0.4367816092	0.07011494253
32	3.832405035	0.5190749863	0.4367816092	0.07011494253
33	3.820488398	0.5186781609	0.4367816092	0.07011494253
34	3.79809328	0.5218846926	0.4482758621	0.07011494253
35	3.776214595	0.5157544244	0.4367816092	0.07011494253
36	3.75647195	0.5158502098	0.4367816092	0.06896551724
37	3.744739994	0.5221218756	0.4482758621	0.07011494253
38	3.725525357	0.5234355045	0.4482758621	0.06896551724
39	3.710895336	0.5154533844	0.4367816092	0.06781609195
40	3.692028989	0.515530925	0.4367816092	0.06781609195
41	3.684815726	0.5195539135	0.4482758621	0.06666666667
42	3.662619866	0.5227285167	0.4482758621	0.06666666667
43	3.647212611	0.5294198139	0.4597701149	0.06781609195
44	3.627799168	0.5232074439	0.4482758621	0.06666666667
45	3.608758198	0.5270251779	0.4597701149	0.06551724138
46	3.593252195	0.5170954205	0.4367816092	0.06666666667
47	3.575952414	0.5135057471	0.4252873563	0.06781609195
48	3.558150132	0.5142218573	0.4252873563	0.06781609195
49	3.547965648	0.51479657	0.4252873563	0.06781609195
50	3.535144503	0.5262908228	0.4482758621	0.06781609195
51	3.531247204	0.5262908228	0.4482758621	0.06781609195
52	3.509168413	0.5348020434	0.4597701149	0.06896551724
53	3.496971	0.5335249042	0.4597701149	0.06781609195
54	3.481649425	0.5461685824	0.4712643678	0.07126436782
55	3.460305654	0.5544334975	0.4827586207	0.07126436782
56	3.448641851	0.5546387521	0.4827586207	0.07126436782
57	3.435250298	0.5552134647	0.4827586207	0.07126436782
58	3.425159228	0.5542738551	0.4827586207	0.07126436782
59	3.415459401	0.5612981208	0.4942528736	0.0724137931
60	3.399809815	0.5696360153	0.5057471264	0.0724137931
61	3.391266076	0.5677203065	0.5057471264	0.0724137931
62	3.382869254	0.5602171137	0.4942528736	0.0724137931
63	3.36544509	0.5570060208	0.4942528736	0.0724137931
64	3.352843901	0.5627531472	0.5057471264	0.07126436782
65	3.343136852	0.5609012954	0.5057471264	0.07011494253
66	3.327487976	0.5750775406	0.5172413793	0.0724137931
67	3.319810933	0.574936143	0.5172413793	0.0724137931
68	3.310961007	0.5747765006	0.5172413793	0.0724137931
69	3.296679412	0.5824712644	0.5287356322	0.07356321839
70	3.286772851	0.5824028462	0.5287356322	0.07356321839
71	3.276313712	0.5808702791	0.5287356322	0.0724137931
72	3.260763967	0.5767560664	0.5172413793	0.0724137931
73	3.250231325	0.5816548075	0.5287356322	0.0724137931
74	3.243387777	0.5881682175	0.5402298851	0.07356321839
75	3.229904633	0.5916164933	0.5402298851	0.07471264368
76	3.219096584	0.6056650246	0.5517241379	0.07586206897
77	3.196526003	0.6428297756	0.5862068966	0.07816091954
78	3.185739466	0.64378763	0.5862068966	0.07816091954
79	3.172143495	0.6525177887	0.5977011494	0.07816091954
80	3.156785519	0.6525177887	0.5977011494	0.07816091954
81	3.143639556	0.658456486	0.6091954023	0.07931034483
82	3.132238963	0.6661193213	0.6206896552	0.07931034483
83	3.120578937	0.6653530378	0.6206896552	0.07701149425
84	3.103689945	0.6570881226	0.6091954023	0.07701149425
85	3.088593235	0.6647509579	0.6206896552	0.07701149425
86	3.072775624	0.6794061303	0.6436781609	0.07816091954
87	3.061633964	0.6808429119	0.6436781609	0.07816091954
88	3.049380349	0.6801085568	0.6436781609	0.07816091954
89	3.040288773	0.6801085568	0.6436781609	0.07816091954
90	3.026847049	0.6801085568	0.6436781609	0.07816091954
91	3.021816234	0.6801085568	0.6436781609	0.07816091954
92	3.015479956	0.6801085568	0.6436781609	0.07816091954
93	3.005528442	0.6801085568	0.6436781609	0.07816091954
94	3.000642554	0.6799808429	0.6436781609	0.07816091954
95	2.985164738	0.6799808429	0.6436781609	0.07816091954
96	2.971280725	0.6780651341	0.6436781609	0.07816091954
97	2.958366007	0.6780651341	0.6436781609	0.07816091954
98	2.950345715	0.6780651341	0.6436781609	0.07816091954
99	2.941919484	0.6780651341	0.6436781609	0.07816091954
100	2.924100048	0.6848659004	0.6551724138	0.07931034483
101	2.913964481	0.6848659004	0.6551724138	0.07931034483
102	2.905876169	0.6738642583	0.632183908	0.07931034483
103	2.896324751	0.6742474001	0.632183908	0.07931034483
104	2.885086487	0.6745210728	0.632183908	0.07931034483
105	2.866051145	0.6798850575	0.6436781609	0.07931034483
106	2.856545069	0.6787629995	0.6436781609	0.07931034483
107	2.847862045	0.6771665754	0.6436781609	0.07931034483
108	2.836054854	0.6790822843	0.6436781609	0.07931034483
109	2.823789109	0.6848294107	0.6551724138	0.07931034483
110	2.807965612	0.6925606641	0.6666666667	0.07931034483
111	2.800890458	0.6925606641	0.6666666667	0.07931034483
112	2.787704707	0.6930395913	0.6666666667	0.07931034483
113	2.77504649	0.6888250319	0.6551724138	0.07931034483
114	2.756727831	0.6876892903	0.6551724138	0.07931034483
115	2.750477313	0.6875615764	0.6551724138	0.07931034483
116	2.740822719	0.6856458675	0.6551724138	0.07931034483
117	2.733660093	0.6856458675	0.6551724138	0.07931034483
118	2.727540827	0.6848932677	0.6551724138	0.07931034483
119	2.714400342	0.6848932677	0.6551724138	0.07931034483
120	2.700415271	0.6935139573	0.6666666667	0.07931034483
121	2.687521145	0.6935139573	0.6666666667	0.07931034483
122	2.677796423	0.6935139573	0.6666666667	0.07931034483
123	2.66664937	0.69555738	0.6666666667	0.07931034483
124	2.655974158	0.6936416712	0.6666666667	0.07931034483
125	2.645190594	0.6944718117	0.6666666667	0.07931034483
126	2.625366332	0.6887246853	0.6551724138	0.07931034483
127	2.621515475	0.6898741106	0.6551724138	0.08045977011
128	2.604514602	0.7051039956	0.6781609195	0.08045977011
129	2.583911417	0.704529283	0.6781609195	0.08045977011
130	2.573322115	0.704529283	0.6781609195	0.08045977011
131	2.562695544	0.7035714286	0.6781609195	0.08045977011
132	2.555583204	0.7001368363	0.6666666667	0.0816091954
133	2.548233614	0.7012862616	0.6666666667	0.08275862069
134	2.543675993	0.7020525452	0.6666666667	0.0816091954
135	2.532392728	0.7029009305	0.6666666667	0.0816091954
136	2.524362067	0.703667214	0.6666666667	0.08045977011
137	2.514519309	0.703667214	0.6666666667	0.08045977011
138	2.504374563	0.7033935413	0.6666666667	0.08045977011
139	2.488465053	0.7059660646	0.6666666667	0.08045977011
140	2.475288161	0.6951559934	0.6551724138	0.08045977011
141	2.461990165	0.6958128079	0.6551724138	0.08045977011
142	2.452691147	0.6960864806	0.6551724138	0.08045977011
143	2.441613117	0.70030104	0.6551724138	0.08275862069
144	2.435509383	0.6975825579	0.6551724138	0.08045977011
145	2.428077927	0.6955391352	0.6551724138	0.08045977011
146	2.417683117	0.6955391352	0.6551724138	0.08045977011
147	2.406670037	0.6954615946	0.6551724138	0.08045977011
148	2.399839734	0.6967387338	0.6551724138	0.0816091954
149	2.39115817	0.6967387338	0.6551724138	0.0816091954
150	2.382937841	0.6967387338	0.6551724138	0.0816091954
151	2.366887537	0.7048987411	0.6666666667	0.08275862069
152	2.358597485	0.7051860974	0.6666666667	0.08275862069
153	2.350577139	0.7098157271	0.6781609195	0.08275862069
154	2.346040366	0.7098157271	0.6781609195	0.08275862069
155	2.336882649	0.7040686006	0.6666666667	0.08275862069
156	2.334512979	0.7040686006	0.6666666667	0.08275862069
157	2.330612713	0.705026455	0.6666666667	0.08275862069
158	2.319694819	0.7019750046	0.6551724138	0.08275862069
159	2.317687988	0.707722131	0.6666666667	0.08275862069
160	2.315061176	0.7083607006	0.6666666667	0.08275862069
161	2.310013336	0.7083607006	0.6666666667	0.08275862069
162	2.300586732	0.7107553366	0.6666666667	0.08275862069
163	2.291431942	0.7247400109	0.6896551724	0.08275862069
164	2.285794443	0.7247400109	0.6896551724	0.08275862069
165	2.277397729	0.7239600438	0.6896551724	0.08275862069
166	2.268255088	0.7296752417	0.7011494253	0.08275862069
167	2.260166753	0.7302499544	0.7011494253	0.08275862069
168	2.253950516	0.7302499544	0.7011494253	0.08275862069
169	2.249877718	0.7292921	0.7011494253	0.08275862069
170	2.24051061	0.7302499544	0.7011494253	0.08275862069
171	2.229734926	0.7304095968	0.7011494253	0.08275862069
172	2.226316278	0.7305692392	0.7011494253	0.08275862069
173	2.223651951	0.7305692392	0.7011494253	0.08275862069
174	2.214653446	0.7296569969	0.7011494253	0.08275862069
175	2.202377125	0.7296569969	0.7011494253	0.08275862069
176	2.197069714	0.7299306696	0.7011494253	0.08275862069
177	2.191235365	0.7299306696	0.7011494253	0.08275862069
178	2.186291831	0.7299306696	0.7011494253	0.08275862069
179	2.178998194	0.7299306696	0.7011494253	0.08275862069
180	2.171877916	0.7345283707	0.7126436782	0.08275862069
181	2.170575655	0.7287812443	0.7011494253	0.08275862069
182	2.163457259	0.7287812443	0.7011494253	0.08275862069
183	2.156311255	0.7291963145	0.7011494253	0.08275862069
