iter	Passed	Remaining
0	21	42784
1	34	34096
2	46	31079
3	59	29593
4	72	28736
5	84	28117
6	97	27689
7	110	27421
8	122	27154
9	135	26953
10	148	26797
11	160	26648
12	173	26537
13	186	26419
14	198	26316
15	211	26285
16	224	26244
17	237	26181
18	250	26105
19	263	26064
20	276	26034
21	288	25973
22	301	25912
23	314	25870
24	327	25833
25	339	25791
26	352	25779
27	365	25739
28	378	25694
29	391	25703
30	404	25687
31	417	25673
32	430	25666
33	443	25667
34	456	25648
35	469	25636
36	482	25623
37	495	25602
38	508	25570
39	521	25542
40	534	25530
41	547	25514
42	559	25485
43	572	25458
44	585	25456
45	599	25445
46	612	25448
47	625	25427
48	638	25414
49	651	25401
50	664	25383
51	676	25358
52	689	25332
53	702	25321
54	715	25306
55	728	25282
56	740	25258
57	754	25249
58	767	25238
59	780	25228
60	793	25209
61	806	25195
62	818	25172
63	831	25160
64	844	25147
65	857	25133
66	870	25111
67	882	25087
68	895	25074
69	908	25056
70	921	25046
71	935	25043
72	948	25041
73	962	25038
74	975	25030
75	988	25023
76	1001	25005
77	1014	24995
78	1027	24988
79	1040	24977
80	1053	24967
81	1066	24955
82	1079	24938
83	1092	24916
84	1104	24893
85	1117	24871
86	1130	24851
87	1143	24838
88	1155	24819
89	1168	24801
90	1181	24789
91	1194	24783
92	1207	24767
93	1220	24757
94	1234	24747
95	1247	24736
96	1260	24722
97	1272	24701
98	1285	24681
99	1298	24665
100	1310	24645
101	1323	24630
102	1336	24622
103	1349	24610
104	1363	24600
105	1376	24588
106	1388	24570
107	1401	24551
108	1414	24540
109	1427	24528
110	1440	24516
111	1453	24499
112	1465	24479
113	1478	24466
114	1491	24455
115	1505	24443
116	1517	24425
117	1530	24408
118	1543	24397
119	1556	24385
120	1569	24373
121	1582	24357
122	1594	24339
123	1608	24328
124	1620	24312
125	1633	24294
126	1646	24278
127	1659	24266
128	1672	24252
129	1684	24236
130	1697	24218
131	1710	24208
132	1723	24196
133	1736	24183
134	1749	24169
135	1762	24155
136	1775	24138
137	1788	24127
138	1801	24121
139	1814	24105
