iter	Passed	Remaining
0	12	24978
1	16	16180
2	19	13296
3	23	11762
4	27	10836
5	30	10197
6	34	9764
7	37	9369
8	41	9129
9	44	8839
10	48	8687
11	51	8565
12	55	8429
13	58	8358
14	62	8233
15	65	8179
16	69	8069
17	72	8024
18	76	7991
19	80	7922
20	83	7877
21	87	7835
22	90	7802
23	94	7746
24	97	7721
25	101	7678
26	104	7656
27	108	7636
28	111	7582
29	115	7564
30	118	7553
31	122	7542
32	125	7499
33	129	7494
34	133	7469
35	136	7453
36	140	7447
37	143	7409
38	147	7401
39	151	7402
40	154	7374
41	158	7367
42	161	7342
43	164	7325
44	169	7343
45	172	7319
46	175	7296
47	179	7294
48	182	7274
49	186	7271
50	189	7255
51	193	7233
52	197	7243
53	200	7229
54	203	7212
55	207	7206
56	210	7191
57	214	7187
58	218	7182
59	221	7171
60	225	7158
61	229	7166
62	232	7158
63	236	7144
64	239	7132
65	242	7117
66	246	7118
67	250	7109
68	253	7099
69	257	7087
70	260	7085
71	264	7077
72	267	7070
73	271	7060
74	274	7048
75	278	7046
76	281	7039
77	285	7040
78	288	7026
79	292	7013
80	295	7008
81	299	7011
82	303	7000
83	306	6989
84	310	6986
85	313	6981
86	317	6975
87	320	6969
88	324	6967
89	327	6956
90	331	6949
91	335	6949
92	338	6939
93	342	6936
94	345	6926
95	349	6925
96	352	6913
97	355	6905
98	359	6904
99	363	6909
100	367	6900
101	370	6888
102	373	6884
103	377	6881
104	380	6873
105	384	6870
106	387	6861
107	391	6860
108	394	6852
109	398	6850
110	402	6842
111	405	6840
112	409	6831
113	412	6830
114	416	6823
115	419	6820
116	423	6810
117	426	6807
118	430	6806
119	433	6796
120	437	6793
121	440	6785
122	444	6782
123	448	6781
124	451	6772
125	455	6769
126	458	6766
127	462	6759
128	465	6758
129	469	6749
130	472	6747
131	476	6742
132	479	6736
133	483	6732
134	487	6729
135	490	6722
136	494	6720
137	497	6715
138	501	6711
139	504	6708
140	508	6704
141	512	6700
142	515	6696
143	519	6691
144	522	6684
145	526	6680
146	529	6673
147	533	6669
148	536	6667
149	540	6660
150	543	6657
151	547	6653
152	550	6650
153	554	6645
154	558	6644
155	561	6639
156	564	6632
157	568	6627
158	572	6626
159	575	6619
160	579	6618
161	582	6609
162	586	6606
163	589	6600
164	593	6596
165	596	6594
166	600	6587
167	603	6586
168	607	6582
169	610	6576
170	614	6574
171	618	6569
172	621	6563
173	625	6563
174	628	6558
175	632	6552
176	635	6549
177	639	6543
178	642	6539
179	646	6537
180	650	6537
181	654	6535
182	658	6542
183	663	6547
184	667	6546
185	670	6543
186	674	6538
187	678	6538
188	681	6531
189	685	6528
190	688	6525
191	692	6519
192	696	6516
193	699	6510
194	702	6507
195	706	6505
196	710	6500
197	713	6493
198	717	6490
199	720	6487
200	724	6482
201	728	6481
202	731	6475
203	734	6469
204	738	6466
205	742	6463
206	745	6457
207	749	6454
208	752	6449
209	756	6444
210	759	6441
211	763	6438
212	766	6432
213	770	6429
214	773	6425
215	777	6420
216	781	6418
217	784	6412
218	788	6409
219	791	6403
220	795	6401
221	798	6394
222	802	6391
223	805	6390
224	809	6384
225	812	6380
226	816	6375
227	819	6371
228	823	6368
229	827	6365
230	830	6360
231	833	6354
232	837	6351
233	841	6348
234	844	6345
235	848	6338
236	851	6335
237	855	6332
238	859	6329
239	862	6322
240	865	6318
241	869	6314
242	872	6310
243	876	6307
244	880	6303
245	885	6313
246	888	6308
247	892	6304
