iter	Passed	Remaining
0	16	32255
1	23	23058
2	30	20310
3	37	18691
4	44	17787
5	52	17286
6	59	16898
7	66	16559
8	73	16360
9	81	16195
10	88	16039
11	95	15889
12	102	15728
13	110	15653
14	118	15642
15	125	15545
16	132	15453
17	139	15382
18	146	15326
19	153	15235
20	160	15171
21	168	15119
22	175	15066
23	182	15021
24	189	14985
25	196	14949
26	203	14897
27	210	14857
28	218	14835
29	225	14811
30	232	14754
31	239	14736
32	246	14709
33	253	14673
34	260	14645
35	268	14634
36	275	14603
37	282	14576
38	289	14557
39	297	14555
40	304	14548
41	311	14531
42	319	14524
43	326	14510
44	333	14481
45	340	14464
46	347	14432
47	354	14415
48	361	14408
49	369	14398
50	376	14370
51	383	14354
52	390	14330
53	397	14324
54	404	14316
55	411	14299
56	418	14282
57	426	14268
58	432	14244
59	440	14235
60	447	14226
61	454	14212
62	461	14197
63	469	14189
64	476	14181
65	483	14166
66	490	14156
67	497	14139
68	504	14123
69	511	14103
70	518	14098
71	525	14080
72	533	14075
73	540	14063
74	547	14057
75	554	14041
76	561	14024
77	568	14019
78	575	14001
79	583	13999
80	590	13987
81	597	13975
82	604	13964
83	611	13957
84	618	13943
85	625	13930
86	633	13925
87	640	13918
88	648	13917
89	655	13910
90	662	13904
91	669	13892
92	677	13888
93	684	13874
94	691	13862
95	698	13851
96	705	13846
97	712	13832
98	719	13820
99	726	13811
100	733	13793
101	740	13787
102	748	13785
103	755	13769
104	762	13762
105	769	13748
106	776	13741
107	784	13736
108	791	13725
109	798	13718
110	805	13703
111	812	13696
112	819	13692
113	827	13683
114	833	13668
115	841	13661
116	848	13653
117	855	13643
118	862	13632
119	869	13623
120	876	13616
121	883	13601
122	890	13594
123	898	13587
124	905	13581
125	912	13572
126	921	13585
127	928	13582
128	936	13580
129	943	13576
130	951	13572
131	959	13571
132	966	13566
133	973	13559
134	980	13550
135	988	13542
136	995	13537
137	1002	13524
138	1009	13519
139	1016	13506
140	1024	13500
141	1030	13487
142	1037	13479
143	1045	13481
144	1052	13468
145	1060	13462
146	1066	13449
147	1074	13444
148	1081	13435
149	1088	13424
150	1095	13414
151	1102	13405
152	1109	13398
153	1116	13389
154	1124	13380
155	1131	13372
156	1138	13359
157	1145	13356
158	1152	13347
159	1159	13338
160	1166	13327
161	1173	13319
162	1181	13310
163	1187	13298
164	1195	13294
165	1202	13288
166	1209	13279
167	1216	13270
168	1224	13262
169	1231	13252
170	1238	13243
171	1245	13237
172	1252	13227
173	1259	13221
174	1266	13211
175	1274	13205
176	1281	13194
177	1288	13185
178	1295	13175
179	1302	13168
180	1309	13161
181	1316	13154
182	1324	13147
183	1331	13138
184	1338	13129
185	1345	13120
186	1352	13114
187	1359	13105
188	1366	13095
189	1373	13086
190	1380	13078
191	1388	13071
192	1395	13065
193	1402	13054
194	1409	13048
195	1416	13039
196	1423	13031
197	1431	13024
198	1438	13016
199	1445	13007
200	1452	12999
201	1459	12991
202	1466	12980
203	1473	12974
204	1481	12968
205	1488	12962
206	1495	12955
207	1503	12949
208	1510	12943
209	1517	12937
210	1525	12930
211	1531	12919
212	1539	12912
213	1546	12903
214	1553	12897
215	1560	12890
216	1568	12883
217	1575	12877
218	1582	12870
219	1589	12861
220	1596	12853
221	1603	12845
222	1611	12838
223	1618	12830
224	1625	12823
225	1632	12818
226	1640	12811
227	1647	12803
228	1654	12794
229	1661	12785
230	1668	12779
231	1675	12771
232	1683	12764
233	1690	12756
234	1697	12748
235	1704	12738
236	1711	12727
237	1718	12722
238	1725	12716
239	1732	12707
240	1740	12700
241	1747	12692
242	1754	12685
243	1761	12676
244	1768	12669
245	1775	12662
246	1782	12654
247	1790	12646
248	1797	12637
249	1804	12629
250	1811	12621
251	1818	12613
252	1825	12605
253	1832	12595
254	1839	12589
255	1847	12583
256	1854	12576
257	1861	12567
258	1868	12559
259	1875	12554
260	1882	12546
261	1890	12538
262	1897	12531
263	1904	12522
264	1915	12538
265	1922	12529
266	1928	12520
267	1936	12514
268	1943	12506
269	1950	12498
270	1957	12491
271	1964	12482
272	1972	12476
273	1979	12468
274	1986	12461
275	1993	12452
276	2000	12445
277	2007	12436
278	2015	12429
279	2022	12422
280	2029	12415
281	2036	12408
282	2044	12404
283	2051	12398
284	2058	12389
285	2065	12380
286	2073	12373
287	2080	12366
288	2087	12359
289	2095	12353
290	2102	12346
291	2109	12339
292	2116	12332
293	2124	12325
294	2131	12318
295	2138	12310
296	2145	12302
297	2152	12294
298	2159	12288
299	2167	12280
300	2174	12272
301	2181	12267
302	2189	12260
303	2196	12254
304	2203	12248
305	2211	12240
306	2218	12232
307	2225	12225
308	2232	12215
309	2239	12209
310	2246	12201
311	2253	12193
312	2260	12186
313	2268	12178
314	2275	12171
315	2282	12162
316	2289	12155
317	2296	12145
318	2303	12138
319	2310	12130
320	2317	12123
321	2324	12114
322	2331	12107
323	2339	12099
324	2346	12092
325	2353	12086
326	2360	12077
327	2367	12070
328	2375	12063
329	2381	12054
330	2389	12046
331	2396	12040
332	2403	12032
333	2410	12025
334	2418	12019
335	2425	12012
336	2432	12005
337	2439	11997
338	2447	11990
339	2454	11983
340	2461	11977
341	2469	11969
342	2476	11963
343	2483	11954
344	2490	11946
345	2497	11939
346	2504	11931
347	2511	11922
348	2519	11917
349	2526	11911
350	2534	11907
351	2541	11899
352	2549	11893
353	2556	11885
354	2563	11877
355	2570	11869
356	2577	11861
357	2584	11854
358	2591	11845
359	2598	11838
360	2605	11829
361	2612	11822
362	2620	11815
363	2627	11808
364	2634	11799
365	2641	11792
366	2648	11785
367	2655	11778
368	2663	11771
369	2670	11764
370	2677	11757
371	2685	11750
372	2692	11744
373	2700	11738
374	2707	11731
375	2714	11724
376	2721	11717
377	2729	11710
378	2736	11704
379	2743	11698
380	2751	11691
381	2758	11683
382	2765	11674
383	2772	11666
384	2779	11660
385	2786	11652
386	2794	11646
387	2801	11640
388	2809	11633
389	2816	11626
390	2823	11619
391	2830	11612
392	2837	11602
393	2844	11596
394	2851	11588
395	2859	11580
396	2866	11574
397	2873	11565
398	2880	11557
399	2887	11548
400	2894	11540
401	2901	11534
402	2911	11539
403	2919	11531
404	2926	11524
405	2933	11517
406	2941	11511
407	2948	11504
408	2955	11497
409	2962	11489
410	2969	11481
411	2977	11474
412	2983	11466
413	2990	11457
414	2998	11450
415	3005	11443
416	3012	11435
417	3019	11429
418	3026	11420
419	3034	11414
420	3041	11407
421	3049	11402
422	3056	11395
423	3064	11388
424	3070	11380
425	3077	11372
426	3085	11365
427	3092	11357
428	3099	11350
