,K-Means,OPTICS (косинусное расcтояние),OPTICS (евклидово раcстояние)
железный_ADJ,0,0,-1
серебряный_ADJ,0,0,0
стальной_ADJ,0,0,0
твердый_ADJ,1,1,-1
добрый_ADJ,1,1,-1
выносливый_ADJ,1,1,-1
терпеливый_ADJ,1,1,-1
алмазный_ADJ,0,0,-1
алюминиевый_ADJ,0,0,0
верный_ADJ,1,1,-1
пластиковый_ADJ,0,0,0
жестокий_ADJ,1,1,-1
отважный_ADJ,1,1,-1
высокомерный_ADJ,1,1,-1
надменный_ADJ,1,1,-1
деревянный_ADJ,0,0,0
золотой_ADJ,0,0,0
кожаный_ADJ,0,0,0
медный_ADJ,0,0,0
бронзовый_ADJ,0,0,-1
внимательный_ADJ,1,1,-1
раздражительный_ADJ,1,1,-1
хитрый_ADJ,1,1,-1
мудрый_ADJ,1,1,-1
